CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
27513,31,Male,17,29,8,25,Standard,Annual,891,5,0
15898,24,Male,41,10,1,29,Standard,Quarterly,690,26,0
61997,63,Male,46,1,9,16,Standard,Monthly,884,6,1
30182,57,Female,53,4,7,23,Standard,Annual,526,12,1
57358,47,Female,25,11,6,18,Premium,Monthly,280,19,1
46411,37,Female,12,2,7,13,Standard,Annual,219,16,1
17881,26,Male,18,18,2,10,Standard,Monthly,282,15,0
18170,20,Female,50,24,5,11,Premium,Monthly,760,3,0
29283,24,Female,23,4,5,16,Basic,Annual,359,10,0
53871,60,Male,26,4,9,10,Standard,Quarterly,341,12,1
58019,65,Female,27,23,1,24,Basic,Quarterly,347,18,1
5406,50,Male,52,9,1,13,Standard,Quarterly,181,8,0
34937,44,Male,19,9,3,30,Standard,Quarterly,993,5,0
34436,26,Female,14,21,1,20,Premium,Monthly,640,5,0
17378,49,Female,52,7,1,7,Standard,Monthly,270,13,0
21502,51,Male,15,26,6,20,Standard,Annual,488,25,0
53232,30,Female,33,13,6,26,Premium,Monthly,497,24,1
52874,54,Male,46,17,5,27,Standard,Monthly,565,3,1
45378,28,Female,51,21,2,20,Premium,Annual,196,11,0
57791,59,Female,26,26,7,29,Standard,Annual,483,11,1
55670,59,Male,59,5,7,13,Basic,Quarterly,650,30,1
1842,33,Male,18,27,10,30,Basic,Monthly,971,18,0
50315,43,Female,24,21,9,25,Standard,Monthly,497,21,1
21839,35,Male,6,5,0,3,Basic,Quarterly,278,15,0
63270,53,Male,32,6,9,20,Standard,Quarterly,518,17,1
35139,20,Male,18,9,6,12,Basic,Monthly,188,3,0
39032,41,Female,24,21,5,20,Premium,Quarterly,974,12,1
26783,24,Female,19,5,10,11,Standard,Monthly,321,29,0
5049,40,Female,17,6,4,22,Basic,Monthly,115,19,1
15579,44,Female,54,17,1,15,Basic,Quarterly,509,26,0
9585,65,Female,9,24,7,12,Standard,Quarterly,206,3,0
34466,34,Female,14,4,3,26,Standard,Annual,616,15,0
11045,36,Female,8,10,8,8,Standard,Annual,194,28,0
5036,53,Male,41,9,2,4,Standard,Monthly,298,17,0
11579,31,Female,27,7,8,24,Basic,Monthly,126,8,1
8192,38,Male,47,21,9,6,Basic,Quarterly,621,21,0
27442,42,Female,40,4,9,20,Standard,Annual,502,2,1
29906,52,Female,51,1,3,25,Basic,Quarterly,309,27,1
17036,39,Female,6,28,9,22,Basic,Quarterly,172,18,1
6068,54,Male,32,15,7,1,Basic,Quarterly,487,15,0
5445,40,Female,9,23,6,29,Premium,Annual,203,13,1
36178,32,Male,42,9,5,11,Standard,Monthly,814,7,0
54627,40,Female,34,8,3,29,Premium,Monthly,898,10,1
57136,49,Male,27,16,6,26,Basic,Annual,386,6,1
51553,57,Female,51,2,1,24,Premium,Monthly,840,14,1
36945,38,Male,39,9,5,29,Standard,Monthly,978,14,1
23892,46,Male,12,5,6,21,Standard,Monthly,925,25,0
33007,54,Female,22,11,10,23,Premium,Monthly,294,26,1
54730,35,Male,44,13,5,21,Premium,Quarterly,625,17,1
43667,26,Male,47,15,0,16,Premium,Monthly,421,20,0
59963,59,Male,28,14,5,25,Standard,Annual,377,3,1
2355,40,Female,10,26,7,24,Standard,Annual,963,28,0
34668,48,Female,21,18,5,16,Standard,Annual,509,1,0
49162,41,Female,17,30,5,22,Premium,Quarterly,228,11,1
7432,52,Female,31,12,0,29,Standard,Quarterly,659,6,0
63588,45,Male,44,2,7,19,Premium,Annual,442,17,1
47466,36,Male,52,25,6,21,Standard,Annual,496,22,1
29259,59,Female,18,13,0,17,Standard,Quarterly,822,14,0
33268,51,Male,25,8,2,1,Premium,Monthly,477,13,0
63480,26,Female,48,17,9,30,Premium,Annual,619,1,1
57181,25,Male,54,14,7,29,Premium,Monthly,485,11,1
44986,34,Female,23,24,5,2,Premium,Quarterly,479,13,0
17895,41,Female,36,21,1,23,Basic,Annual,979,20,0
15651,38,Female,13,11,8,3,Basic,Monthly,715,17,0
4648,36,Male,55,4,9,27,Premium,Annual,425,21,1
9527,28,Male,60,23,8,28,Premium,Annual,393,2,1
48742,31,Female,12,4,0,24,Basic,Annual,222,3,1
33145,20,Female,17,24,0,15,Standard,Monthly,955,29,0
35809,54,Male,36,4,3,30,Basic,Annual,958,21,0
36402,60,Female,55,5,10,6,Premium,Annual,360,15,1
21329,29,Male,58,9,9,4,Standard,Monthly,545,27,0
38062,43,Male,50,23,2,14,Standard,Quarterly,157,16,0
34971,35,Male,28,2,4,22,Standard,Annual,900,25,0
45503,46,Female,55,10,1,3,Standard,Monthly,323,4,0
55703,55,Male,48,15,9,27,Standard,Annual,546,25,1
22313,47,Female,41,4,3,1,Standard,Annual,246,29,0
42234,55,Male,2,10,7,10,Basic,Annual,388,29,0
1049,48,Female,25,8,9,12,Standard,Quarterly,451,16,0
9404,45,Male,37,30,6,10,Premium,Quarterly,529,24,0
53497,63,Male,47,1,4,24,Premium,Quarterly,741,1,1
12034,37,Male,11,27,2,1,Basic,Quarterly,925,9,0
53860,60,Male,39,30,6,29,Premium,Quarterly,236,9,1
51960,49,Male,57,4,10,16,Basic,Quarterly,979,22,1
50542,25,Male,39,7,10,28,Basic,Monthly,499,27,1
40264,32,Female,13,15,1,30,Standard,Quarterly,465,5,1
59564,64,Female,32,22,9,27,Basic,Monthly,723,1,1
11837,51,Male,25,30,9,25,Premium,Monthly,665,4,1
20985,25,Female,51,13,8,25,Premium,Monthly,346,30,1
1184,53,Female,13,25,6,30,Basic,Monthly,449,7,1
53939,41,Male,30,19,7,17,Standard,Annual,967,15,1
906,51,Female,19,9,0,21,Premium,Quarterly,938,3,0
41181,53,Female,34,4,1,14,Basic,Quarterly,375,10,0
57300,65,Female,58,17,1,29,Premium,Quarterly,120,7,1
31965,22,Female,24,25,10,17,Standard,Monthly,897,12,1
32489,21,Female,12,8,8,6,Premium,Annual,571,6,0
9830,34,Male,24,5,9,14,Premium,Annual,510,9,0
36386,48,Male,20,6,3,5,Standard,Monthly,931,25,0
5861,37,Male,9,2,6,9,Standard,Annual,264,19,1
34433,59,Male,39,23,5,16,Standard,Monthly,334,24,1
54225,18,Female,49,20,1,27,Premium,Monthly,916,19,1
9354,20,Female,22,3,9,22,Basic,Monthly,789,27,1
27490,48,Female,56,8,4,0,Standard,Monthly,480,23,0
5795,31,Female,25,29,7,22,Standard,Quarterly,313,20,1
28132,47,Female,43,2,4,18,Basic,Monthly,577,10,0
834,57,Female,9,26,9,10,Premium,Annual,416,24,0
28283,58,Female,37,3,0,27,Basic,Monthly,366,5,1
63759,26,Male,58,21,6,16,Premium,Monthly,642,24,1
39227,38,Female,22,25,6,5,Premium,Monthly,946,7,0
18276,40,Female,56,23,1,29,Basic,Quarterly,431,1,1
56907,49,Male,57,29,7,26,Premium,Annual,384,1,1
24361,56,Male,10,21,8,9,Standard,Annual,562,21,0
29391,43,Male,43,7,8,16,Premium,Monthly,147,11,1
47278,34,Female,50,17,6,22,Basic,Quarterly,902,14,1
19026,39,Male,39,22,2,22,Premium,Quarterly,853,26,0
7622,51,Male,38,25,6,18,Premium,Annual,768,5,1
28323,42,Male,41,12,7,30,Standard,Annual,530,7,1
1704,20,Male,23,17,1,12,Basic,Monthly,436,3,0
63272,48,Male,34,20,6,25,Standard,Monthly,110,17,1
23736,35,Female,22,15,6,19,Premium,Annual,535,7,0
11125,19,Female,32,20,1,16,Standard,Monthly,985,24,0
44791,38,Male,47,3,5,14,Basic,Monthly,600,15,0
31432,25,Female,43,26,4,21,Premium,Annual,787,21,0
59317,28,Female,47,11,7,26,Premium,Quarterly,554,19,1
60434,30,Male,35,2,5,19,Standard,Monthly,288,15,1
45209,28,Female,22,24,3,6,Basic,Annual,208,29,0
59647,45,Male,1,1,8,9,Premium,Annual,395,1,1
58152,43,Female,25,18,10,17,Basic,Monthly,538,23,1
45950,62,Male,29,17,7,21,Basic,Annual,221,18,1
55192,53,Female,21,12,10,28,Premium,Monthly,869,14,1
11057,44,Female,33,29,7,19,Standard,Monthly,316,30,1
31139,52,Female,54,29,3,0,Premium,Quarterly,869,29,0
4421,61,Male,56,16,4,1,Premium,Monthly,404,14,0
55138,55,Female,57,26,6,19,Basic,Monthly,432,1,1
23240,47,Female,55,21,4,27,Standard,Quarterly,880,27,0
49262,56,Female,40,10,9,24,Standard,Monthly,791,21,1
30074,26,Female,13,20,9,11,Standard,Quarterly,372,10,0
42787,58,Female,49,10,5,9,Premium,Quarterly,936,24,0
8937,39,Female,54,23,2,28,Basic,Quarterly,232,16,1
205,27,Male,29,30,4,3,Basic,Annual,258,18,0
1942,20,Male,11,5,0,4,Basic,Quarterly,743,11,0
60885,56,Female,28,15,9,21,Basic,Monthly,790,13,1
34223,46,Male,38,11,0,29,Premium,Monthly,749,3,0
55368,21,Female,59,25,5,21,Basic,Annual,307,19,1
12158,44,Male,22,1,9,0,Premium,Quarterly,472,11,0
19139,18,Male,6,25,10,18,Standard,Annual,285,29,0
31035,23,Female,28,5,5,3,Basic,Monthly,480,26,0
30489,51,Male,56,17,2,2,Standard,Quarterly,969,20,0
34973,59,Male,3,9,4,18,Basic,Monthly,813,12,0
60723,57,Female,6,2,3,17,Standard,Annual,340,30,1
38101,28,Female,57,22,10,25,Basic,Monthly,658,12,1
28059,57,Male,14,6,5,16,Basic,Annual,176,22,0
45126,45,Female,54,4,4,18,Basic,Quarterly,102,7,0
57896,59,Female,56,10,5,27,Basic,Quarterly,434,23,1
44581,57,Male,3,12,8,21,Premium,Annual,150,14,0
29920,20,Male,19,22,10,4,Standard,Annual,296,23,0
41138,51,Female,58,16,10,10,Standard,Monthly,186,21,0
14534,44,Male,6,9,3,14,Basic,Quarterly,658,10,0
46321,62,Female,55,16,8,23,Standard,Monthly,132,27,1
49999,38,Female,44,25,9,28,Basic,Quarterly,185,2,1
54695,35,Male,25,12,10,28,Basic,Annual,460,22,1
27700,18,Female,20,24,8,1,Premium,Annual,731,23,0
38281,54,Female,53,24,2,29,Premium,Quarterly,420,26,1
1955,49,Female,42,23,7,19,Standard,Monthly,261,10,1
28746,22,Female,27,22,6,29,Basic,Annual,864,9,1
33288,20,Female,14,13,4,29,Premium,Monthly,630,18,1
57329,54,Female,19,4,8,13,Basic,Monthly,931,11,1
59277,56,Female,33,29,0,27,Basic,Quarterly,109,17,1
63639,49,Female,58,3,7,27,Premium,Annual,100,9,1
56075,18,Female,41,24,1,24,Standard,Quarterly,266,28,1
21378,38,Female,7,10,8,30,Premium,Monthly,681,11,1
39631,62,Male,35,17,2,9,Premium,Quarterly,851,23,0
37923,38,Male,56,30,2,27,Premium,Annual,710,6,0
48006,39,Male,28,28,7,17,Basic,Monthly,281,8,1
8629,59,Male,3,1,0,22,Premium,Annual,583,1,1
10728,37,Female,24,16,5,3,Premium,Monthly,196,28,0
54504,43,Male,33,2,7,21,Basic,Annual,254,2,1
20347,20,Female,4,5,4,30,Standard,Annual,472,17,1
43091,55,Male,2,17,10,6,Standard,Quarterly,516,21,0
19768,55,Female,5,22,3,19,Standard,Annual,565,12,0
60774,44,Female,23,30,7,26,Standard,Annual,153,26,1
27089,64,Male,27,18,0,16,Standard,Monthly,993,1,0
45617,22,Male,28,3,9,13,Standard,Annual,892,23,0
7135,62,Male,31,23,0,17,Premium,Monthly,249,28,0
11741,24,Male,24,21,7,10,Standard,Quarterly,929,12,0
49251,47,Male,56,23,9,18,Standard,Annual,379,23,1
48031,30,Female,13,11,3,27,Basic,Quarterly,115,5,1
4284,34,Female,20,26,5,4,Standard,Annual,958,4,0
58473,59,Female,54,17,4,28,Basic,Annual,413,3,1
13062,32,Female,56,13,0,15,Premium,Monthly,355,20,0
52582,29,Female,25,2,2,22,Premium,Annual,456,18,1
3367,65,Female,30,25,3,8,Basic,Annual,235,3,0
60766,25,Female,39,14,6,16,Premium,Monthly,298,29,1
63689,53,Female,27,12,8,30,Standard,Annual,281,14,1
26439,42,Male,54,8,0,15,Premium,Quarterly,670,7,0
29450,31,Female,41,16,1,3,Basic,Annual,899,24,0
33110,51,Male,60,27,7,21,Premium,Quarterly,903,19,1
42105,29,Female,30,7,7,11,Premium,Monthly,180,4,0
35236,50,Male,35,10,6,22,Premium,Quarterly,391,5,1
31036,51,Female,41,17,5,14,Premium,Annual,797,18,0
62395,54,Female,23,30,9,22,Premium,Monthly,190,20,1
27014,63,Female,52,1,10,20,Basic,Quarterly,766,22,1
59075,39,Female,53,11,6,16,Premium,Quarterly,507,19,1
32620,29,Female,57,9,7,12,Premium,Annual,755,26,0
52301,31,Male,51,25,6,26,Premium,Monthly,733,16,1
1681,64,Male,54,8,2,15,Standard,Quarterly,933,2,0
32449,47,Female,19,10,3,6,Basic,Quarterly,630,30,0
50403,37,Male,32,6,5,22,Premium,Quarterly,849,9,1
43573,26,Female,29,5,4,0,Basic,Monthly,253,10,0
34322,25,Male,9,16,10,0,Premium,Monthly,301,24,0
6584,26,Female,27,1,8,19,Basic,Monthly,222,8,1
57923,50,Male,33,20,6,25,Basic,Monthly,958,30,1
4623,37,Female,50,10,1,19,Premium,Monthly,681,27,0
56480,63,Female,37,28,7,24,Standard,Quarterly,807,8,1
12371,34,Female,13,23,4,18,Basic,Monthly,684,27,0
38691,38,Female,49,11,8,10,Standard,Monthly,549,13,0
50868,57,Male,53,1,10,21,Basic,Monthly,314,5,1
43865,48,Male,60,13,0,17,Basic,Monthly,912,21,0
41337,53,Male,42,5,9,2,Basic,Quarterly,631,19,1
23996,40,Male,8,25,5,3,Premium,Monthly,809,21,0
28319,64,Female,36,13,0,22,Standard,Quarterly,250,13,1
14903,34,Male,54,9,5,14,Standard,Quarterly,903,18,0
34917,48,Female,12,3,2,7,Premium,Quarterly,551,22,0
12631,42,Female,50,2,8,6,Premium,Annual,678,5,0
13827,32,Female,21,28,4,4,Premium,Monthly,153,29,0
62096,55,Female,23,4,5,20,Standard,Monthly,806,8,1
22686,18,Male,42,21,8,30,Premium,Annual,160,5,1
33089,44,Male,15,12,5,9,Basic,Annual,328,19,0
6157,51,Male,48,9,8,23,Basic,Quarterly,283,29,1
12611,41,Male,56,13,3,4,Basic,Annual,493,30,0
8760,25,Male,44,17,6,17,Basic,Annual,907,9,1
20150,65,Male,29,4,9,4,Premium,Quarterly,524,6,1
18464,41,Male,50,13,6,21,Basic,Annual,880,17,1
22036,59,Female,58,18,6,26,Premium,Quarterly,307,4,1
39929,24,Male,59,23,10,14,Basic,Annual,266,8,0
25394,37,Female,43,14,3,23,Premium,Quarterly,243,1,1
58782,26,Female,17,14,3,26,Premium,Quarterly,307,28,1
63547,42,Female,60,22,8,30,Premium,Annual,401,29,1
29028,59,Female,1,19,1,1,Premium,Quarterly,293,18,0
48339,55,Female,35,30,7,21,Standard,Quarterly,450,10,1
15770,44,Male,54,23,2,30,Standard,Quarterly,484,16,0
40244,35,Male,24,27,7,25,Basic,Monthly,527,13,1
21097,45,Female,9,2,10,26,Basic,Monthly,225,18,1
5622,60,Female,21,30,2,11,Basic,Quarterly,519,27,0
47171,33,Female,6,29,8,29,Standard,Monthly,623,22,1
23701,27,Female,8,19,1,20,Premium,Quarterly,234,6,0
11246,28,Male,48,2,9,1,Premium,Annual,586,1,0
55262,33,Female,2,29,5,22,Basic,Monthly,699,6,1
15198,45,Female,2,27,3,7,Basic,Annual,214,25,0
41643,20,Male,22,30,7,9,Basic,Quarterly,761,21,0
11750,27,Male,50,15,1,26,Standard,Monthly,280,3,0
63003,61,Male,54,22,8,28,Basic,Annual,191,27,1
55629,48,Male,26,10,9,16,Standard,Quarterly,142,5,1
52268,23,Male,38,16,7,18,Standard,Annual,693,16,1
11301,20,Male,34,20,8,9,Basic,Quarterly,485,12,0
14279,36,Female,60,25,1,13,Basic,Quarterly,450,24,0
21202,26,Female,10,17,9,25,Premium,Monthly,308,7,1
20183,45,Female,7,16,4,13,Basic,Quarterly,280,11,0
26392,54,Female,19,25,3,19,Standard,Annual,357,21,0
39503,22,Female,14,15,0,12,Premium,Quarterly,322,5,0
13967,58,Male,59,18,1,16,Standard,Monthly,946,21,0
2345,22,Female,45,20,8,1,Standard,Monthly,829,30,0
58259,29,Female,29,13,9,19,Standard,Monthly,843,13,1
8022,54,Male,8,18,3,16,Basic,Quarterly,160,28,0
17704,47,Male,53,9,5,17,Basic,Annual,637,12,1
10830,52,Female,4,30,7,13,Standard,Annual,611,13,0
27663,53,Male,12,29,9,23,Standard,Annual,520,21,0
33260,46,Female,11,22,4,4,Standard,Annual,370,10,0
61296,55,Male,54,2,9,9,Basic,Quarterly,755,1,1
39918,41,Female,50,15,1,9,Premium,Annual,462,6,0
63021,21,Male,30,13,7,21,Standard,Annual,142,9,1
4814,54,Male,26,2,5,7,Premium,Quarterly,370,22,1
33554,24,Female,2,3,10,9,Basic,Quarterly,585,15,1
47113,36,Female,49,23,8,18,Premium,Monthly,615,1,1
5734,30,Female,44,30,0,17,Premium,Monthly,928,10,0
38148,59,Female,24,6,7,21,Basic,Quarterly,543,29,1
51544,19,Female,31,13,8,28,Standard,Monthly,110,16,1
29996,57,Male,60,27,1,8,Premium,Annual,971,26,0
49971,43,Female,32,8,9,24,Basic,Annual,945,21,1
60511,33,Male,39,26,10,22,Premium,Monthly,568,19,1
26684,29,Female,38,26,6,8,Basic,Monthly,215,4,0
27060,35,Female,49,9,5,12,Standard,Monthly,650,23,0
56553,19,Female,33,30,4,22,Standard,Monthly,105,17,1
14541,34,Female,39,16,9,3,Premium,Monthly,792,18,0
30471,22,Female,52,17,1,29,Premium,Annual,845,30,0
43342,61,Female,10,29,2,23,Premium,Monthly,818,10,1
3383,54,Female,7,28,4,9,Premium,Quarterly,967,20,0
630,24,Male,44,12,9,28,Premium,Annual,935,9,1
21127,34,Male,43,19,2,16,Premium,Monthly,724,22,0
32509,47,Female,33,8,8,13,Basic,Annual,164,7,0
41387,64,Female,25,24,4,27,Premium,Annual,268,10,1
59955,50,Female,3,15,10,26,Premium,Quarterly,165,28,1
43325,26,Male,17,9,4,28,Basic,Quarterly,912,12,0
60779,63,Female,60,30,5,25,Standard,Annual,682,12,1
9171,27,Male,17,15,10,2,Premium,Monthly,663,29,0
42844,50,Female,43,26,8,29,Basic,Annual,921,10,1
44085,41,Female,38,18,8,17,Premium,Quarterly,801,18,1
22763,50,Female,48,18,4,23,Basic,Monthly,313,12,1
582,55,Female,26,21,8,15,Basic,Quarterly,710,3,0
20764,59,Male,48,29,10,13,Premium,Annual,847,26,0
35814,48,Female,23,29,7,29,Premium,Monthly,332,9,1
61529,41,Female,52,15,7,22,Standard,Annual,445,28,1
53826,33,Female,36,12,9,21,Standard,Annual,196,8,1
48829,56,Male,2,5,10,1,Premium,Annual,292,20,1
14770,44,Male,58,21,4,5,Basic,Annual,215,7,0
16346,42,Male,51,21,2,19,Standard,Monthly,140,9,0
26187,46,Male,25,5,4,7,Premium,Monthly,646,2,0
8429,52,Female,42,1,7,7,Premium,Monthly,943,29,1
59867,18,Female,59,20,5,22,Premium,Monthly,474,25,1
12979,44,Male,56,18,6,18,Premium,Annual,385,20,1
53208,55,Female,25,3,9,20,Standard,Quarterly,525,30,1
45974,52,Male,43,5,5,22,Basic,Quarterly,223,26,1
51652,26,Male,57,7,7,30,Premium,Monthly,696,12,1
5072,49,Male,31,15,3,1,Standard,Annual,232,30,0
26921,40,Female,20,14,6,9,Basic,Quarterly,978,29,0
63805,58,Female,9,5,6,9,Basic,Annual,916,25,1
19474,63,Male,32,14,6,12,Basic,Quarterly,423,6,0
34043,23,Male,36,2,4,8,Premium,Quarterly,548,11,0
60423,23,Female,47,7,6,25,Premium,Quarterly,597,1,1
1929,42,Female,14,14,1,19,Standard,Quarterly,982,1,0
40372,48,Male,14,19,8,5,Basic,Annual,572,3,0
45868,50,Female,38,5,10,20,Standard,Monthly,264,9,1
49692,40,Female,58,21,10,30,Basic,Quarterly,788,27,1
18347,60,Female,34,20,4,8,Basic,Monthly,508,7,0
19864,27,Female,55,27,10,28,Standard,Monthly,937,11,1
16619,34,Male,45,20,2,1,Standard,Annual,296,13,0
21539,46,Male,56,25,1,15,Basic,Quarterly,559,15,0
25586,18,Male,46,29,2,14,Basic,Annual,327,15,0
64251,63,Male,25,21,9,29,Standard,Monthly,781,29,1
461,46,Male,30,29,5,10,Premium,Annual,447,30,0
16630,19,Female,17,1,9,23,Standard,Annual,931,7,0
61988,59,Male,27,1,10,8,Premium,Annual,534,6,1
49761,29,Female,49,27,6,17,Premium,Quarterly,944,30,1
40856,61,Male,1,5,10,25,Standard,Quarterly,557,12,1
44458,60,Female,17,4,10,9,Standard,Quarterly,747,23,1
62819,45,Female,39,5,5,27,Basic,Quarterly,944,28,1
1742,59,Female,59,9,0,12,Standard,Annual,255,17,0
41855,50,Male,8,28,6,5,Premium,Monthly,873,21,0
58560,40,Male,57,12,9,17,Basic,Annual,385,3,1
21618,61,Male,44,11,8,25,Basic,Annual,343,3,1
23866,29,Female,55,10,9,10,Basic,Monthly,567,8,0
15923,49,Female,35,16,0,27,Basic,Monthly,873,9,1
8086,48,Male,10,1,1,15,Standard,Quarterly,271,2,0
62854,49,Female,55,30,3,21,Premium,Quarterly,180,11,1
6661,23,Male,32,10,4,28,Standard,Monthly,380,22,0
32316,55,Male,31,5,9,29,Basic,Annual,613,21,1
46237,28,Male,26,22,9,23,Basic,Quarterly,868,2,1
